Date,Close,High,Low,Open,Volume,Sector
2025-01-13,3464.300048828125,3534.5,3448.60009765625,3505.550048828125,2137212,Construction
2025-01-14,3462.60009765625,3491.949951171875,3448.60009765625,3465.85009765625,2924491,Construction
2025-01-15,3501.39990234375,3526.14990234375,3471.300048828125,3471.300048828125,1155446,Construction
2025-01-16,3507.89990234375,3543.449951171875,3483.75,3535.0,2305460,Construction
2025-01-17,3568.64990234375,3579.85009765625,3511.949951171875,3524.0,1600246,Construction
2025-01-20,3593.0,3617.14990234375,3556.5,3574.89990234375,1593334,Construction
2025-01-21,3541.10009765625,3643.300048828125,3528.10009765625,3612.75,2576596,Construction
2025-01-22,3518.199951171875,3582.35009765625,3490.10009765625,3563.0,1626055,Construction
2025-01-23,3503.25,3527.800048828125,3460.60009765625,3492.0,1993204,Construction
2025-01-24,3458.199951171875,3521.10009765625,3446.050048828125,3514.5,1206454,Construction
2025-01-27,3457.64990234375,3493.89990234375,3401.14990234375,3447.199951171875,1552938,Construction
2025-01-28,3413.89990234375,3482.14990234375,3404.050048828125,3464.949951171875,1657689,Construction
2025-01-29,3449.699951171875,3455.0,3412.0,3431.0,1238704,Construction
2025-01-30,3420.949951171875,3517.800048828125,3395.0,3455.0,2717740,Construction
2025-01-31,3567.39990234375,3590.0,3481.050048828125,3501.050048828125,3995513,Construction
2025-02-01,3447.5,3629.199951171875,3402.0,3578.0,4752505,Construction
2025-02-03,3289.199951171875,3420.0,3270.0,3420.0,6077580,Construction
2025-02-04,3439.14990234375,3449.0,3307.25,3316.0,4742516,Construction
2025-02-05,3383.199951171875,3450.949951171875,3379.449951171875,3444.64990234375,2670316,Construction
2025-02-06,3352.75,3404.0,3342.699951171875,3404.0,2874856,Construction
2025-02-07,3336.89990234375,3369.949951171875,3311.10009765625,3367.0,1722789,Construction
2025-02-10,3328.64990234375,3349.0,3294.050048828125,3347.800048828125,1236663,Construction
2025-02-11,3239.64990234375,3361.0,3231.0,3360.949951171875,2593537,Construction
2025-02-12,3289.64990234375,3300.0,3222.25,3259.0,1632415,Construction
2025-02-13,3263.64990234375,3314.89990234375,3252.949951171875,3289.64990234375,2127644,Construction
2025-02-14,3237.64990234375,3285.800048828125,3221.550048828125,3275.050048828125,1378340,Construction
2025-02-17,3221.85009765625,3239.39990234375,3194.550048828125,3213.550048828125,1966689,Construction
2025-02-18,3220.14990234375,3241.0,3183.0,3227.0,2428215,Construction
2025-02-19,3275.89990234375,3302.85009765625,3211.60009765625,3220.14990234375,1677978,Construction
2025-02-20,3275.800048828125,3285.449951171875,3247.75,3260.050048828125,1236693,Construction
2025-02-21,3315.10009765625,3324.89990234375,3270.89990234375,3275.800048828125,1706850,Construction
2025-02-24,3257.699951171875,3325.5,3250.0,3289.699951171875,1512844,Construction
2025-02-25,3225.89990234375,3248.949951171875,3206.39990234375,3233.0,2529084,Construction
2025-02-27,3209.5,3258.5,3184.0,3238.0,2572065,Construction
2025-02-28,3163.85009765625,3199.800048828125,3141.0,3199.800048828125,2494680,Construction
2025-03-03,3197.300048828125,3227.0,3160.0,3165.949951171875,1352460,Construction
2025-03-04,3213.0,3221.0,3167.800048828125,3171.050048828125,1442098,Construction
2025-03-05,3239.64990234375,3245.0,3187.85009765625,3213.0,1945855,Construction
2025-03-06,3259.89990234375,3266.449951171875,3215.0,3250.10009765625,1854837,Construction
2025-03-07,3244.699951171875,3289.0,3240.10009765625,3259.89990234375,930240,Construction
2025-03-10,3177.699951171875,3246.300048828125,3169.050048828125,3246.0,1777752,Construction
2025-03-11,3195.449951171875,3204.39990234375,3161.10009765625,3170.300048828125,1274649,Construction
2025-03-12,3193.64990234375,3221.949951171875,3153.050048828125,3205.0,1360149,Construction
2025-03-13,3187.300048828125,3233.14990234375,3178.050048828125,3202.25,1414376,Construction
2025-03-17,3173.449951171875,3240.050048828125,3159.0,3190.0,2805790,Construction
2025-03-18,3173.449951171875,3173.449951171875,3173.449951171875,3173.449951171875,0,Construction
2025-03-19,3319.550048828125,3326.60009765625,3268.5,3275.0,1616312,Construction
2025-03-20,3351.050048828125,3358.89990234375,3276.89990234375,3335.25,2434722,Construction
2025-03-21,3415.949951171875,3455.0,3332.75,3357.0,3042073,Construction
2025-03-24,3481.85009765625,3517.0,3446.0,3449.0,1955564,Construction
2025-03-25,3469.60009765625,3525.0,3435.35009765625,3505.0,4235900,Construction
2025-03-26,3444.800048828125,3496.800048828125,3418.5,3473.0,2315715,Construction
2025-03-27,3501.60009765625,3528.0,3451.0,3460.0,3467864,Construction
2025-03-28,3492.300048828125,3514.0,3472.550048828125,3509.89990234375,1348143,Construction
2025-04-01,3436.800048828125,3501.60009765625,3430.0,3480.0,1935147,Construction
2025-04-02,3419.89990234375,3457.75,3408.0,3433.0,1338839,Construction
2025-04-03,3420.14990234375,3463.0,3393.0,3400.0,1200631,Construction
2025-04-04,3260.14990234375,3403.800048828125,3237.300048828125,3400.0,2366979,Construction
2025-04-07,3068.5,3090.60009765625,2965.300048828125,3049.050048828125,4953864,Construction
2025-04-08,3161.10009765625,3193.89990234375,3092.699951171875,3124.949951171875,2877816,Construction
2025-04-09,3054.14990234375,3158.800048828125,3048.0,3158.800048828125,4451381,Construction
